Week,Site,Device,Spend,Impressions,Clicks,Sales,Partner Type,Audience,Channel
2023-01-22,Facebook/Instagram,other,9.27,5427.0,2,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,NBC Sports,Not Specified,0.01,72.0,0,10241207.4,FEP,Not Specified,Display
2023-01-22,Pinterest,Unknown Device Category,53976.45,17693639.0,15507,10241207.4,Not Specified,Demo-Only,Social
2023-01-22,The Trade Desk,Not Specified,0.14,2815607.0,6593,10241207.4,Programmatic,Not Specified,Display
2023-01-22,YouTube,Not Specified,1.96,4486070.0,1363,10241207.4,Programmatic,Not Specified,Display
2023-01-29,Amazon,Not Specified,0.56,3099504.0,5725,9897463.23,FEP,Not Specified,Display
2023-01-29,CBS,Not Specified,0.12,805348.0,103,9897463.23,FEP,Not Specified,Display
2023-01-29,Facebook/Instagram,android_smartphone,8214.95,5092530.0,3355,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,android_tablet,100.11,60335.0,53,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,desktop,299.06,183248.0,93,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,ipad,377.04,227870.0,146,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,iphone,26565.5,16068443.0,11794,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,ipod,9.36,6031.0,10,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Facebook/Instagram,other,8.97,5370.0,1,9897463.23,Not Specified,Demo-Only,Social
2023-01-29,Pinterest,Unknown Device Category,54255.84,17427539.0,14672,9897463.23,Not Specified,Keyword,Social
2023-01-29,Roku,Not Specified,0.24,436518.0,118,9897463.23,FEP,Not Specified,Display
2023-01-29,The Trade Desk,Not Specified,0.67,2719381.0,5135,9897463.23,Programmatic,Not Specified,Display
2023-01-29,Tubi Inc,Not Specified,0.18,310502.0,80,9897463.23,FEP,Not Specified,Display
2023-01-29,YouTube,Not Specified,2.0,4581481.0,1391,9897463.23,Programmatic,Not Specified,Display
2023-02-05,Amazon,Not Specified,0.55,2662437.0,4917,0.0,FEP,Not Specified,Display
2023-02-05,CBS,Not Specified,0.14,812200.0,124,0.0,FEP,Not Specified,Display
2023-02-05,Facebook/Instagram,android_smartphone,8224.24,4704031.0,2954,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,android_tablet,99.42999999999999,56221.0,52,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,desktop,298.61,171016.0,93,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,ipad,374.33,212122.0,126,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,iphone,25928.19,14465226.0,10323,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,ipod,9.44,5609.0,4,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Facebook/Instagram,other,9.76,5295.0,2,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Pinterest,Unknown Device Category,59295.85,17495284.0,14596,9856178.28,Not Specified,Keyword,Social
2023-02-05,Roku,Not Specified,0.28,308668.0,83,0.0,FEP,Not Specified,Display
2023-02-05,The Trade Desk,Not Specified,0.2,2904991.0,5355,0.0,Programmatic,Not Specified,Display
2023-02-05,TikTok,Unknown Device Category,14405.63,5735580.0,7791,9856178.28,Not Specified,Demo-Only,Social
2023-02-05,Tubi Inc,Not Specified,0.21,353779.5,87,0.0,FEP,Not Specified,Display
2023-02-05,YouTube,Not Specified,1.96,4466190.0,1682,0.0,Programmatic,Not Specified,Display
2023-02-12,Amazon,Not Specified,0.37,298349.0,551,0.0,FEP,Not Specified,Display
2023-02-12,CBS,Not Specified,0.02,82506.0,27,0.0,FEP,Not Specified,Display
2023-02-12,Facebook/Instagram,android_smartphone,8281.47,4741685.0,2849,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,android_tablet,99.18,55653.0,52,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,desktop,276.26,158685.0,83,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,ipad,375.73,211167.0,130,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,iphone,26444.28,14823229.0,10764,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,ipod,9.44,5376.0,2,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Facebook/Instagram,other,10.64,6021.0,1,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Pinterest,Unknown Device Category,62955.93,18268298.0,15074,9778717.01,Not Specified,Interest,Social
2023-02-12,Roku,Not Specified,0.04,9768.0,2,0.0,FEP,Not Specified,Display
2023-02-12,The Trade Desk,Not Specified,3.5,3097507.0,5105,0.0,Programmatic,Not Specified,Display
2023-02-12,TikTok,Unknown Device Category,69174.66,24011881.0,34909,9778717.01,Not Specified,Demo-Only,Social
2023-02-12,Tubi Inc,Not Specified,0.03,45751.5,12,0.0,FEP,Not Specified,Display
2023-02-12,YouTube,Not Specified,3.0100000000000002,5138557.5,2437,0.0,Programmatic,Not Specified,Display
2023-02-19,Amazon,Not Specified,0.28,31.0,0,0.0,FEP,Not Specified,Display
2023-02-19,Facebook/Instagram,android_smartphone,8300.21,4713225.0,2844,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,android_tablet,98.88,55550.0,51,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,desktop,297.04,168369.0,86,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,ipad,385.72,216524.0,132,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,iphone,26194.78,14580854.0,10756,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,ipod,9.07,5434.0,4,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Facebook/Instagram,other,9.91,5271.0,3,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,Pinterest,Unknown Device Category,53709.72,16481832.0,13120,9071115.21,Not Specified,Keyword,Social
2023-02-19,The Trade Desk,Not Specified,4.3500000000000005,2936238.0,6421,0.0,Programmatic,Not Specified,Display
2023-02-19,TikTok,Unknown Device Category,63075.67,23330553.0,32611,9071115.21,Not Specified,Demo-Only,Social
2023-02-19,YouTube,Not Specified,3.29,4764551.5,2111,0.0,Programmatic,Not Specified,Display
2023-02-26,Amazon,Not Specified,0.28,2982501.0,5512,0.0,FEP,Not Specified,Display
2023-02-26,CBS,Not Specified,0.12,1410724.0,283,0.0,FEP,Not Specified,Display
2023-02-26,Facebook/Instagram,android_smartphone,8510.47,4795686.0,2848,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,android_tablet,98.49,54559.0,48,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,desktop,307.28,173902.0,87,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,ipad,391.66,217644.0,139,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,iphone,26667.45,14750918.0,10355,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,ipod,8.870000000000001,5238.0,5,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Facebook/Instagram,other,9.87,5444.0,1,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Pinterest,Unknown Device Category,51166.02,15573976.0,12403,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Roku,Not Specified,0.24,411544.0,113,0.0,FEP,Not Specified,Display
2023-02-26,The Trade Desk,Not Specified,4.42,2949335.0,7000,0.0,Programmatic,Not Specified,Display
2023-02-26,TikTok,Unknown Device Category,65196.58,24425118.0,37535,9563246.82,Not Specified,Demo-Only,Social
2023-02-26,Tubi Inc,Not Specified,0.18,304253.0,76,0.0,FEP,Not Specified,Display
2023-02-26,YouTube,Not Specified,3.33,4888697.5,2286,0.0,Programmatic,Not Specified,Display
2023-03-05,Amazon,Not Specified,0.28,2585043.0,4777,0.0,FEP,Not Specified,Display
2023-03-05,CBS,Not Specified,0.14,1492013.0,344,0.0,FEP,Not Specified,Display
2023-03-05,Facebook/Instagram,android_smartphone,8587.4,4763844.0,2851,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,android_tablet,95.77,53020.0,49,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,desktop,288.6,161967.0,79,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,ipad,385.43,210128.0,111,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,iphone,27015.69,14653085.0,10774,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,ipod,8.87,4898.0,3,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Facebook/Instagram,other,9.7,5007.0,7,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Not Specified,Not Specified,246063.95,1.0,0,9834201.96,Not Specified,Not Specified,TV
2023-03-05,Pinterest,Unknown Device Category,49022.57,14453491.0,11768,9834201.96,Not Specified,Keyword,Social
2023-03-05,Roku,Not Specified,0.28,336522.0,90,0.0,FEP,Not Specified,Display
2023-03-05,The Trade Desk,Not Specified,4.34,3055130.0,6558,0.0,Programmatic,Not Specified,Display
2023-03-05,TikTok,Unknown Device Category,77627.84,28010982.0,49275,9834201.96,Not Specified,Demo-Only,Social
2023-03-05,Tubi Inc,Not Specified,0.21,377142.5,92,0.0,FEP,Not Specified,Display
2023-03-05,YouTube,Not Specified,3.36,5111524.0,2437,0.0,Programmatic,Not Specified,Display
2023-03-12,Amazon,Not Specified,0.09,283279.0,523,0.0,FEP,Not Specified,Display
2023-03-12,CBS,Not Specified,0.02,147955.0,40,0.0,FEP,Not Specified,Display
2023-03-12,Facebook/Instagram,android_smartphone,8807.46,4659879.0,2739,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,android_tablet,99.34,52478.0,44,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,desktop,289.95,154978.0,83,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,ipad,382.93,201963.0,125,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,iphone,27045.82,13995577.0,9254,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,ipod,8.68,4791.0,4,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Facebook/Instagram,other,8.6,4424.0,6,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Pinterest,Unknown Device Category,49176.06,14497893.0,12041,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Roku,Not Specified,0.09,7627.0,3,0.0,FEP,Not Specified,Display
2023-03-12,The Trade Desk,Not Specified,4.41,2992005.0,7318,0.0,Programmatic,Not Specified,Display
2023-03-12,TikTok,Unknown Device Category,94679.0,29598669.0,59144,9842864.28,Not Specified,Demo-Only,Social
2023-03-12,Tubi Inc,Not Specified,0.03,29739.5,8,0.0,FEP,Not Specified,Display
2023-03-12,YouTube,Not Specified,3.36,5311804.0,2785,0.0,Programmatic,Not Specified,Display
2023-03-19,Amazon,Not Specified,0.13,330.0,0,0.0,FEP,Not Specified,Display
2023-03-19,Facebook/Instagram,android_smartphone,4234.57,2215912.0,1622,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,android_tablet,59.09,30374.0,27,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,desktop,196.3,102858.0,54,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,ipad,217.85,113475.0,67,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,iphone,10038.89,5331381.0,3654,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,ipod,6.49,3434.0,1,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Facebook/Instagram,other,1.61,743.0,0,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,Pinterest,Unknown Device Category,8116.69,2322302.0,1975,9604625.35,Not Specified,Keyword,Social
2023-03-19,The Trade Desk,Not Specified,4.34,3148743.0,9499,0.0,Programmatic,Not Specified,Display
2023-03-19,TikTok,Unknown Device Category,92056.93000000001,28912008.0,51545,9604625.35,Not Specified,Demo-Only,Social
2023-03-19,YouTube,Not Specified,3.36,5715413.0,3657,0.0,Programmatic,Not Specified,Display
2023-03-26,Amazon,Not Specified,0.78,601873.0,1109,0.0,FEP,Not Specified,Display
2023-03-26,CBS,Not Specified,0.13,911910.0,86,0.0,FEP,Not Specified,Display
2023-03-26,Facebook/Instagram,android_smartphone,2379.26,1287339.0,636,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,android_tablet,23.81,12484.0,11,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,desktop,51.74,28686.0,14,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,ipad,93.07,50618.0,27,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,iphone,5448.29,2974488.0,1325,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,ipod,1.9100000000000001,900.0,0,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Facebook/Instagram,other,4.51,2408.0,4,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,NBCU,Not Specified,0.12,405454.0,295,0.0,FEP,Not Specified,Display
2023-03-26,Not Specified,Not Specified,159116.46,1.0,0,9404039.29,Not Specified,Not Specified,TV
2023-03-26,Pinterest,Unknown Device Category,1086.02,342966.0,286,9404039.29,Not Specified,Interest,Social
2023-03-26,Roku,Not Specified,0.12,455828.0,123,0.0,FEP,Not Specified,Display
2023-03-26,The Trade Desk,Not Specified,4.44,3100780.0,8289,0.0,Programmatic,Not Specified,Display
2023-03-26,TikTok,Unknown Device Category,36691.35,12910696.0,20988,9404039.29,Not Specified,Demo-Only,Social
2023-03-26,Tubi Inc,Not Specified,0.13,594942.0,153,0.0,FEP,Not Specified,Display
2023-03-26,YouTube,Not Specified,3.37,5606662.5,3815,0.0,Programmatic,Not Specified,Display
2023-04-02,Amazon,Not Specified,0.84,515441.0,951,0.0,FEP,Not Specified,Display
2023-04-02,CBS,Not Specified,0.14,1003171.0,74,0.0,FEP,Not Specified,Display
2023-04-02,Facebook/Instagram,android_smartphone,7739.03,4453135.0,2444,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,android_tablet,78.0,46564.0,45,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,desktop,198.28,119105.0,56,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,ipad,334.05,193955.0,116,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,iphone,27082.64,14758289.0,8271,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,ipod,7.05,4206.0,2,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Facebook/Instagram,other,10.14,5173.0,2,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,NBCU,Not Specified,0.14,395975.0,149,0.0,FEP,Not Specified,Display
2023-04-02,Not Specified,Not Specified,159116.46,1.0,0,9103074.7,Not Specified,Not Specified,TV
2023-04-02,Pinterest,Unknown Device Category,1002.48,316584.0,264,9103074.7,Not Specified,Interest,Social
2023-04-02,Roku,Not Specified,0.14,487970.0,131,0.0,FEP,Not Specified,Display
2023-04-02,The Trade Desk,Not Specified,4.34,2900351.0,5741,0.0,Programmatic,Not Specified,Display
2023-04-02,TikTok,Unknown Device Category,27596.239999999998,11088677.0,17472,9103074.7,Not Specified,Demo-Only,Social
2023-04-02,Tubi Inc,Not Specified,0.14,735522.0,188,0.0,FEP,Not Specified,Display
2023-04-02,YouTube,Not Specified,3.49,4840842.5,2082,0.0,Programmatic,Not Specified,Display
2023-04-09,Amazon,Not Specified,0.62,56171.0,103,0.0,FEP,Not Specified,Display
2023-04-09,CBS,Not Specified,0.02,107329.0,30,0.0,FEP,Not Specified,Display
2023-04-09,Facebook/Instagram,android_smartphone,8747.67,4829922.0,2701,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,android_tablet,92.79,51935.0,48,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,desktop,277.87,159657.0,83,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,ipad,374.42,207976.0,110,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,iphone,31224.13,16623820.0,10109,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,ipod,8.52,4850.0,3,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Facebook/Instagram,other,10.459999999999999,5198.0,3,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,NBCU,Not Specified,0.02,58164.0,41,0.0,FEP,Not Specified,Display
2023-04-09,Pinterest,Unknown Device Category,1127.7900000000002,356157.0,297,9400439.27,Not Specified,Interest,Social
2023-04-09,Roku,Not Specified,0.02,23573.0,6,0.0,FEP,Not Specified,Display
2023-04-09,The Trade Desk,Not Specified,4.4,1325004.0,2235,0.0,Programmatic,Not Specified,Display
2023-04-09,TikTok,Unknown Device Category,8199.78,3410372.0,5395,9400439.27,Not Specified,Demo-Only,Social
2023-04-09,Tubi Inc,Not Specified,0.02,105873.0,27,0.0,FEP,Not Specified,Display
2023-04-09,YouTube,Not Specified,3.4,3225744.0,1675,0.0,Programmatic,Not Specified,Display
2023-04-16,Amazon,Not Specified,0.54,59.0,0,0.0,FEP,Not Specified,Display
2023-04-16,Facebook/Instagram,android_smartphone,8900.64,4662450.0,2524,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,android_tablet,93.8,50258.0,43,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,desktop,277.45,151984.0,76,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,ipad,370.54,195936.0,106,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,iphone,30948.44,15674930.0,9588,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,ipod,8.36,4683.0,5,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Facebook/Instagram,other,11.08,5212.0,1,8601772.01,Not Specified,Demo-Only,Social
2023-04-16,Pinterest,Unknown Device Category,793.6300000000001,250629.0,209,8601772.01,Not Specified,Interest,Social
2023-04-16,The Trade Desk,Not Specified,4.41,1154497.0,1719,0.0,Programmatic,Not Specified,Display
2023-04-16,YouTube,Not Specified,3.36,2957965.0,1597,0.0,Programmatic,Not Specified,Display
2023-04-23,Amazon,Not Specified,0.56,663855.0,1223,0.0,FEP,Not Specified,Display
2023-04-23,CBS,Not Specified,0.12,917463.0,82,0.0,FEP,Not Specified,Display
2023-04-23,Facebook/Instagram,android_smartphone,8520.16,4463414.0,2592,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,android_tablet,90.75,48233.0,38,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,desktop,266.46,146453.0,76,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,ipad,379.34,199755.0,111,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,iphone,31416.82,15801229.0,9401,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,ipod,8.370000000000001,4566.0,4,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Facebook/Instagram,other,11.34,5274.0,2,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,NBCU,Not Specified,0.12,393399.0,118,0.0,FEP,Not Specified,Display
2023-04-23,Not Specified,Not Specified,159116.46,1.0,0,9310870.31,Not Specified,Not Specified,TV
2023-04-23,Pinterest,Unknown Device Category,918.94,290202.0,242,9310870.31,Not Specified,Demo-Only,Social
2023-04-23,Roku,Not Specified,0.24,430971.0,118,0.0,FEP,Not Specified,Display
2023-04-23,The Trade Desk,Not Specified,4.34,1178740.0,1937,0.0,Programmatic,Not Specified,Display
2023-04-23,Tubi Inc,Not Specified,0.14,632543.0,183,0.0,FEP,Not Specified,Display
2023-04-23,YouTube,Not Specified,3.48,3140764.0,1649,0.0,Programmatic,Not Specified,Display
2023-04-30,Amazon,Not Specified,0.56,464994.0,860,0.0,FEP,Not Specified,Display
2023-04-30,CBS,Not Specified,0.14,1010840.0,86,0.0,FEP,Not Specified,Display
2023-04-30,Facebook/Instagram,android_smartphone,8829.18,4700881.0,2785,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,android_tablet,90.11,49154.0,43,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,desktop,308.38,171641.0,80,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,ipad,374.11,200292.0,117,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,iphone,30853.41,15593688.0,9698,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,ipod,8.02,4600.0,7,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,Facebook/Instagram,other,10.22,4922.0,3,9257641.52,Not Specified,Demo-Only,Social
2023-04-30,NBCU,Not Specified,0.14,452081.0,134,0.0,FEP,Not Specified,Display
2023-04-30,Not Specified,Not Specified,159116.46,1.0,0,9257641.52,Not Specified,Not Specified,TV
2023-04-30,Pinterest,Unknown Device Category,668.32,211056.0,176,9257641.52,Not Specified,Keyword,Social
2023-04-30,Roku,Not Specified,0.28,467203.0,123,0.0,FEP,Not Specified,Display
2023-04-30,The Trade Desk,Not Specified,4.34,1155230.0,1876,0.0,Programmatic,Not Specified,Display
2023-04-30,Tubi Inc,Not Specified,0.14,758108.0,179,0.0,FEP,Not Specified,Display
2023-04-30,YouTube,Not Specified,3.44,3077791.0,1626,0.0,Programmatic,Not Specified,Display
2023-05-07,Amazon,Not Specified,0.36,39324.0,72,0.0,FEP,Not Specified,Display
2023-05-07,CBS,Not Specified,0.04,93558.0,19,0.0,FEP,Not Specified,Display
2023-05-07,Facebook/Instagram,android_smartphone,9083.22,4625511.0,2676,9685965.44,Not Specified,Demo-Only,Social
2023-05-07,Facebook/Instagram,android_tablet,90.57,47227.0,39,9685965.44,Not Specified,Demo-Only,Social
2023-05-07,Facebook/Instagram,desktop,266.31,144146.0,75,9685965.44,Not Specified,Demo-Only,Social
2023-05-07,Facebook/Instagram,ipad,363.87,187047.0,103,9685965.44,Not Specified,Demo-Only,Social
